Name,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
INTERNATIONAL,2021-02-22 16:09:24,Graphic Design,Gamers Prestige,Work From Home,Immediately, 1000 lump sum,1 Month,4 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:24,Social Media Marketing,Mbo'Wam,Work From Home,Immediately, 8000 /month +  Incentives,3 Months,4 Mar' 21,Internship,"['Email Marketing', 'Instagram Marketing', '5 days a week']"
INTERNATIONAL,2021-02-22 16:09:25,Media & Public Relations (PR),Green Canvas,Work From Home,Immediately, 3000 /month,1 Month,4 Mar' 21,Internship,"['Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:25,Resource Development (Physics),Contour Education,Work From Home,Immediately, 2000 /month +  Incentives,3 Months,4 Mar' 21,Internship,"['MS-Word', 'Physics', 'Mathematics', 'Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:26,Machine Learning Application Development,Tiny Banyan Technologies Private Limited,Work From Home,Immediately, 15000-20000 /month,3 Months,4 Mar' 21,Internship,"['HTML', 'JavaScript', 'Python', 'ReactJS', 'Flask', 'Google Cloud Computing', 'Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:27,Content Writing,PNK Company,Work From Home,Immediately, 10000 /month,6 Months,4 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:28,Digital Marketing,Fleksa,Work From Home,Immediately, 5000 /month,3 Months,4 Mar' 21,Internship,"['Google Analytics', 'Search Engine Marketing (SEM)', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:28,Graphic Design,WAT Media Private Limited,Work From Home,Immediately, 5000 /month,6 Months,3 Mar' 21,Internship,"['Adobe Photoshop', 'CorelDRAW', 'Adobe Illustrator', 'Certificate', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:29,Digital Marketing,Print Online (UAE),Work From Home,Immediately, 6000 /month,3 Months,3 Mar' 21,Internship,"['Google Analytics', 'Search Engine Marketing (SEM)', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:30,MEAN Stack Development,Edufied,Work From Home,Immediately, 8000-15000 /month,6 Months,3 Mar' 21,Internship,"['MongoDB', 'AngularJS', 'Node.js', 'GitHub', 'Express.js', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:30,Web Development,Edufied,Work From Home,Immediately, 8000-15000 /month,6 Months,3 Mar' 21,Internship,"['Linux', 'DevOps', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:31,Web Development,Knitter,Work From Home,Immediately, 10000 lump sum,2 Months,3 Mar' 21,Internship,"['PHP', 'ReactJS', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:32,Software & Artificial Intelligence (AI),Reflective AI,Work From Home,Immediately, 20000 /month,3 Months,3 Mar' 21,Internship,"['OpenCV', 'Python', 'Image Processing', 'Computer Vision', 'C++ Programming', 'Deep Learning', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:32,Mobile App Development,JanaVikas Kendra,Work From Home,Immediately, 10000 /month,2 Months,3 Mar' 21,Internship,"['Android', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
